RELEASE;FILENAME;LOC;LOC_added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;NR;NAUTH;ChgSetSize;MAX_ChgSet;AVG_ChgSet;BUGGYNESS
1;console/src/main/java/org/syncope/console/rest/ConnectorsRestClient.java;78;154;93;25,67;2;93;0,33;6;1;107;41;17,83;No
1;core/src/main/java/org/syncope/core/persistence/beans/OSWorkflowProperty.java;104;169;126;24,14;2;126;0,29;7;1;206;73;29,43;Yes
1;core/src/main/java/org/syncope/core/persistence/dao/OSWorkflowPropertyDAO.java;26;46;35;15,33;0;0;0;3;1;128;73;42,67;Yes
1;core/src/main/java/org/syncope/core/persistence/dao/impl/OSWorkflowPropertyDAOImpl.java;85;129;98;18,43;0;0;0;7;1;192;73;27,43;Yes
1;core/src/main/java/org/syncope/core/workflow/BaseCleanupAfterEmail.java;31;35;35;17,50;0;0;0;2;1;24;15;12,00;No
1;core/src/main/java/org/syncope/core/workflow/GenerateToken.java;44;180;84;16,36;0;0;0;11;1;317;73;28,82;No
1;core/src/main/java/org/syncope/core/workflow/IsNotValidToken.java;27;31;31;15,50;0;0;0;2;1;88;73;44,00;No
1;core/src/main/java/org/syncope/core/workflow/JPAPropertySet.java;171;211;206;70,33;0;0;0;3;1;96;41;32,00;No
1;core/src/main/java/org/syncope/core/workflow/PropertySetDelegateImpl.java;37;55;44;18,33;0;0;0;3;1;128;73;42,67;Yes
1;core/src/main/java/org/syncope/core/workflow/prcsiam/CleanupAfterEmail.java;29;34;34;17,00;0;0;0;2;1;24;15;12,00;No
1;core/src/main/java/org/syncope/core/persistence/propagation/PropagationException.java;26;76;31;9,50;0;0;0;8;3;2734;1096;341,75;Yes
1;core/src/main/java/org/syncope/core/persistence/security/AsymmetricCipher.java;61;23;15;3,29;-74;3;-10,57;7;3;2726;1096;389,43;Yes
1;console/src/main/java/org/syncope/console/pages/ResourceModalPage.java;305;3263;374;51,79;174;374;2,76;63;4;3848;1096;61,08;No
1;console/src/main/java/org/syncope/console/pages/SyncopeModalPage.java;21;89;25;5,93;5;25;0,33;15;3;2942;1096;196,13;Yes
1;console/src/main/java/org/syncope/console/rest/ResourcesRestClient.java;104;137;120;34,25;0;0;0;4;1;104;41;26,00;No
1;client/src/main/java/org/syncope/client/to/AttributableTO.java;56;270;70;11,25;-31;70;-1,29;24;3;3020;1096;125,83;Yes
1;client/src/main/java/org/syncope/client/to/RoleTO.java;64;255;81;14,17;0;0;0;18;3;2966;1096;164,78;No
1;client/src/main/java/org/syncope/client/to/RoleTOs.java;34;43;41;14,33;0;0;0;3;1;118;56;39,33;No
1;core/src/main/java/org/syncope/core/rest/controller/RoleController.java;134;483;164;17,89;0;0;0;27;4;3126;1096;115,78;No
1;core/src/main/java/org/syncope/core/rest/data/RoleDataBinder.java;275;721;317;20,03;0;0;0;36;3;3494;1096;97,06;No
1;core/src/test/java/org/syncope/core/test/rest/RoleTestITCase.java;109;489;134;20,38;61;134;2,54;24;4;3146;1096;131,08;Yes
1;core/src/main/java/org/syncope/core/rest/data/AbstractAttributableDataBinder.java;182;2481;351;25,84;67;248;0,70;96;4;4671;1096;48,66;No
1;core/src/main/java/org/syncope/core/rest/data/AttributableUtil.java;129;534;156;33,38;-7;156;-0,44;16;3;2615;1096;163,44;Yes
1;client/src/main/java/org/syncope/client/to/ConfigurationTO.java;31;72;37;9,00;0;0;0;8;3;2323;1096;290,38;Yes
1;client/src/main/java/org/syncope/client/to/ConfigurationTOs.java;35;44;42;14,67;0;0;0;3;1;85;52;28,33;No
1;core/src/main/java/org/syncope/core/rest/controller/ConfigurationController.java;116;733;143;21,56;30;143;0,88;34;4;3263;1096;95,97;No
1;core/src/main/java/org/syncope/core/rest/data/ConfigurationDataBinder.java;35;89;43;8,09;0;0;0;11;3;2792;1096;253,82;No
1;core/src/test/java/org/syncope/core/test/rest/ConfigurationTestITCase.java;85;194;101;17,64;0;0;0;11;4;2744;1096;249,45;Yes
1;core/src/main/java/org/syncope/core/persistence/dao/MissingConfKeyException.java;24;47;28;7,83;0;0;0;6;3;2223;1096;370,50;No
1;core/src/main/java/org/syncope/core/rest/SyncopeHandlerExceptionResolver.java;100;120;114;40,00;0;0;0;3;1;31;17;10,33;No
1;core/src/main/java/org/syncope/core/workflow/prcsiam/OpenAMUtils.java;36;44;43;14,67;0;0;0;3;1;41;27;13,67;No
1;client/src/main/java/org/syncope/client/to/MembershipTO.java;41;101;50;11,22;10;50;1,11;9;4;2248;1096;249,78;No
1;core/src/main/java/org/syncope/core/persistence/beans/membership/Membership.java;124;324;148;12,00;12;148;0,44;27;3;3251;1096;120,41;No
1;core/src/main/java/org/syncope/core/persistence/beans/membership/MembershipAttribute.java;76;234;91;10,17;1;91;0,04;23;3;3232;1096;140,52;Yes
