RELEASE;FILENAME;LOC;LOC_added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;NR;NAUTH;ChgSetSize;MAX_ChgSet;AVG_ChgSet;BUGGYNESS
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java;96;155;104;51,67;105;104;35,00;3;2;471;207;157,00;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java;98;148;103;29,60;105;103;21,00;5;3;537;207;107,40;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java;86;126;91;31,50;92;91;23,00;4;3;488;207;122,00;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java;87;151;100;50,33;101;100;33,67;3;2;471;207;157,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java;37;45;45;45,00;45;45;45,00;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java;246;290;289;145,00;289;289;144,50;2;2;378;207;189,00;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java;27;35;31;17,50;32;31;16,00;2;2;300;207;150,00;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java;94;111;111;111,00;111;111;111,00;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java;30;36;35;18,00;35;35;17,50;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java;65;81;81;81,00;81;81;81,00;1;1;207;207;207,00;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java;23;27;27;27,00;27;27;27,00;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java;23;28;28;28,00;28;28;28,00;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java;26;30;29;15,00;29;29;14,50;2;2;378;207;189,00;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java;459;600;561;150,00;566;561;141,50;4;3;472;207;118,00;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java;54;80;64;40,00;64;64;32,00;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java;27;30;29;15,00;29;29;14,50;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java;53;65;64;32,50;64;64;32,00;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java;34;40;37;20,00;37;37;18,50;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java;58;79;68;39,50;68;68;34,00;2;2;378;207;189,00;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java;131;165;153;55,00;154;153;51,33;3;2;471;207;157,00;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java;62;73;72;36,50;72;72;36,00;2;2;378;207;189,00;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java;317;400;364;66,67;385;364;64,17;6;3;529;207;88,17;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java;67;78;76;39,00;76;76;38,00;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java;138;163;158;54,33;159;158;53,00;3;2;471;207;157,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java;618;886;736;295,33;737;736;245,67;3;2;471;207;157,00;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java;65;76;74;38,00;74;74;37,00;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java;77;97;93;32,33;94;93;31,33;3;2;471;207;157,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java;21;22;22;22,00;22;22;22,00;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java;356;439;426;146,33;427;426;142,33;3;2;471;207;157,00;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java;49;62;62;62,00;62;62;62,00;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java;50;59;58;29,50;58;58;29,00;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java;82;96;91;48,00;91;91;45,50;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java;26;28;27;14,00;27;27;13,50;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java;67;79;77;39,50;77;77;38,50;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java;582;742;703;247,33;704;703;234,67;3;2;471;207;157,00;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java;55;67;63;33,50;63;63;31,50;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java;32;37;37;37,00;37;37;37,00;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java;56;65;64;32,50;64;64;32,00;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java;98;127;124;63,50;124;124;62,00;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java;137;167;159;41,75;160;159;40,00;4;2;499;207;124,75;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java;33;41;36;20,50;36;36;18,00;2;2;378;207;189,00;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java;48;60;57;30,00;58;57;29,00;2;2;300;207;150,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java;52;62;62;62,00;62;62;62,00;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java;108;142;129;35,50;130;129;32,50;4;2;499;207;124,75;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java;62;76;73;38,00;74;73;37,00;2;2;300;207;150,00;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java;71;86;82;28,67;83;82;27,67;3;2;471;207;157,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java;61;74;74;74,00;74;74;74,00;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java;42;50;48;25,00;48;48;24,00;2;2;235;207;117,50;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java;52;61;60;30,50;60;60;30,00;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java;62;76;70;25,33;70;70;23,33;3;2;406;207;135,33;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java;163;202;180;50,50;183;180;45,75;4;2;499;207;124,75;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java;44;53;53;53,00;53;53;53,00;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java;384;472;450;118,00;452;450;113,00;4;2;472;207;118,00;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java;33;39;39;39,00;39;39;39,00;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java;66;82;78;41,00;78;78;39,00;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java;54;65;64;32,50;64;64;32,00;2;2;378;207;189,00;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java;28;32;31;16,00;31;31;15,50;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java;53;61;57;30,50;57;57;28,50;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java;97;111;104;55,50;104;104;52,00;2;2;378;207;189,00;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java;28;32;32;32,00;32;32;32,00;1;1;207;207;207,00;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java;194;279;226;93,00;227;226;75,67;3;2;471;207;157,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java;158;208;187;52,00;197;187;49,25;4;3;474;207;118,50;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java;69;81;75;40,50;75;75;37,50;2;2;378;207;189,00;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java;24;28;28;28,00;28;28;28,00;1;1;207;207;207,00;No
