Dataset;#TrainingRelease;%training;%Defective in training;%Defective in testing;Classifier;Balancing;Feature Selection;Sensitivity;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;No;undersampling;Sensitive Threshold;42;0;333;79;1;0.35;0.67;0.44
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;No;undersampling;Sensitive Learning;121;47;286;0;0.72;1;1;0.76
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;No;SMOTE;No;121;0;333;0;1;1;1;1
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;No;SMOTE;Sensitive Threshold;36;0;333;85;1;0.3;0.65;0.38
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;No;SMOTE;Sensitive Learning;121;0;333;0;1;1;1;1
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;Best first;No;No;121;0;333;0;1;1;1;1
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;Best first;No;Sensitive Threshold;53;0;333;68;1;0.44;0.72;0.53
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;Best first;No;Sensitive Learning;121;0;333;0;1;1;1;1
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;Best first;oversampling;No;116;60;273;5;0.66;0.96;0.95;0.68
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;Best first;oversampling;Sensitive Threshold;82;16;317;39;0.84;0.68;0.81;0.67
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;Best first;oversampling;Sensitive Learning;119;55;278;2;0.68;0.98;0.97;0.72
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;Best first;undersampling;No;121;58;275;0;0.68;1;0.98;0.72
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;Best first;undersampling;Sensitive Threshold;72;6;327;49;0.92;0.6;0.79;0.65
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;Best first;undersampling;Sensitive Learning;121;58;275;0;0.68;1;0.97;0.72
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;Best first;SMOTE;No;121;0;333;0;1;1;1;1
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;Best first;SMOTE;Sensitive Threshold;60;0;333;61;1;0.5;0.75;0.59
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;Best first;SMOTE;Sensitive Learning;121;0;333;0;1;1;1;1
BOOKKEEPER;3;30.09;36.84;26.65;IBk;No;No;No;121;0;333;0;1;1;1;1
BOOKKEEPER;3;30.09;36.84;26.65;IBk;No;No;Sensitive Threshold;121;0;333;0;1;1;1;1
BOOKKEEPER;3;30.09;36.84;26.65;IBk;No;No;Sensitive Learning;121;0;333;0;1;1;1;1
BOOKKEEPER;3;30.09;36.84;26.65;IBk;No;oversampling;No;109;53;280;12;0.67;0.9;0.86;0.67
BOOKKEEPER;3;30.09;36.84;26.65;IBk;No;oversampling;Sensitive Threshold;109;52;281;12;0.68;0.9;0.87;0.67
BOOKKEEPER;3;30.09;36.84;26.65;IBk;No;oversampling;Sensitive Learning;115;33;300;6;0.78;0.95;0.93;0.79
BOOKKEEPER;3;30.09;36.84;26.65;IBk;No;undersampling;No;121;45;288;0;0.73;1;0.93;0.77
BOOKKEEPER;3;30.09;36.84;26.65;IBk;No;undersampling;Sensitive Threshold;121;45;288;0;0.73;1;0.93;0.77
BOOKKEEPER;3;30.09;36.84;26.65;IBk;No;undersampling;Sensitive Learning;121;45;288;0;0.73;1;0.93;0.77
BOOKKEEPER;3;30.09;36.84;26.65;IBk;No;SMOTE;No;121;0;333;0;1;1;1;1
BOOKKEEPER;3;30.09;36.84;26.65;IBk;No;SMOTE;Sensitive Threshold;121;0;333;0;1;1;1;1
BOOKKEEPER;3;30.09;36.84;26.65;IBk;No;SMOTE;Sensitive Learning;121;0;333;0;1;1;1;1
BOOKKEEPER;3;30.09;36.84;26.65;IBk;Best first;No;No;121;0;333;0;1;1;1;1
BOOKKEEPER;3;30.09;36.84;26.65;IBk;Best first;No;Sensitive Threshold;121;0;333;0;1;1;1;1
BOOKKEEPER;3;30.09;36.84;26.65;IBk;Best first;No;Sensitive Learning;121;0;333;0;1;1;1;1
BOOKKEEPER;3;30.09;36.84;26.65;IBk;Best first;oversampling;No;113;49;284;8;0.7;0.93;0.89;0.71
BOOKKEEPER;3;30.09;36.84;26.65;IBk;Best first;oversampling;Sensitive Threshold;113;48;285;8;0.7;0.93;0.89;0.71
BOOKKEEPER;3;30.09;36.84;26.65;IBk;Best first;oversampling;Sensitive Learning;117;40;293;4;0.75;0.97;0.92;0.77
BOOKKEEPER;3;30.09;36.84;26.65;IBk;Best first;undersampling;No;121;48;285;0;0.72;1;0.93;0.76
BOOKKEEPER;3;30.09;36.84;26.65;IBk;Best first;undersampling;Sensitive Threshold;121;47;286;0;0.72;1;0.93;0.76
BOOKKEEPER;3;30.09;36.84;26.65;IBk;Best first;undersampling;Sensitive Learning;121;48;285;0;0.72;1;0.93;0.76
BOOKKEEPER;3;30.09;36.84;26.65;IBk;Best first;SMOTE;No;121;0;333;0;1;1;1;1
BOOKKEEPER;3;30.09;36.84;26.65;IBk;Best first;SMOTE;Sensitive Threshold;121;0;333;0;1;1;1;1
BOOKKEEPER;3;30.09;36.84;26.65;IBk;Best first;SMOTE;Sensitive Learning;121;0;333;0;1;1;1;1
BOOKKEEPER;3;30.09;36.84;26.65;Naive Bayes;No;No;No;18;21;312;103;0.46;0.15;0.82;0.11
BOOKKEEPER;3;30.09;36.84;26.65;Naive Bayes;No;No;Sensitive Threshold;13;15;318;108;0.46;0.11;0.53;0.08
BOOKKEEPER;3;30.09;36.84;26.65;Naive Bayes;No;No;Sensitive Learning;22;22;311;99;0.5;0.18;0.89;0.15
BOOKKEEPER;3;30.09;36.84;26.65;Naive Bayes;No;oversampling;No;34;28;305;87;0.55;0.28;0.83;0.23
BOOKKEEPER;3;30.09;36.84;26.65;Naive Bayes;No;oversampling;Sensitive Threshold;18;14;319;103;0.56;0.15;0.55;0.14
