RELEASE ; FILENAME ; NR ; NAUTH; ChgSetSize ; MAX_ChgSet ; BUGGYNESS 
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java;3;2;471;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java;6;3;529;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java;3;2;471;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java;3;2;471;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java;3;2;471;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java;1;1;207;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java;3;2;471;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java;1;1;207;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java;3;2;471;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java;1;1;207;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java;4;2;499;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java;2;2;300;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java;1;1;207;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java;4;2;499;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java;2;2;300;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java;3;2;471;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java;1;1;207;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java;2;2;235;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java;3;2;406;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java;4;2;499;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java;1;1;207;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java;4;2;472;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java;1;1;207;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java;2;2;378;207;No
