TICKET ID ; IV ; OV ; FV ; AV
BOOKKEEPER-858;0;10;10;[null]
BOOKKEEPER-854;0;9;9;[null]
BOOKKEEPER-852;7;9;12;[7]
BOOKKEEPER-848;7;9;9;[7]
BOOKKEEPER-847;0;9;9;[null]
BOOKKEEPER-840;0;9;9;[null]
BOOKKEEPER-839;0;9;9;[null]
BOOKKEEPER-838;0;9;9;[null]
BOOKKEEPER-835;0;9;9;[null]
BOOKKEEPER-834;0;9;9;[null]
BOOKKEEPER-833;0;9;9;[null]
BOOKKEEPER-831;0;9;9;[null]
BOOKKEEPER-828;0;9;9;[null]
BOOKKEEPER-823;0;9;10;[null]
BOOKKEEPER-821;7;9;9;[7]
BOOKKEEPER-815;7;9;9;[7, 8]
BOOKKEEPER-814;7;9;9;[7]
BOOKKEEPER-813;7;9;9;[7]
BOOKKEEPER-809;7;9;9;[7]
BOOKKEEPER-805;7;9;9;[7]
BOOKKEEPER-804;7;9;9;[7]
BOOKKEEPER-803;0;9;9;[null]
BOOKKEEPER-802;0;9;10;[null]
BOOKKEEPER-801;0;9;9;[null]
BOOKKEEPER-800;0;9;9;[null]
BOOKKEEPER-799;0;9;9;[null]
BOOKKEEPER-797;7;9;9;[7]
BOOKKEEPER-795;0;9;9;[null]
BOOKKEEPER-794;0;9;11;[null]
BOOKKEEPER-793;0;9;9;[null]
BOOKKEEPER-786;0;9;9;[null]
BOOKKEEPER-785;0;9;9;[null]
BOOKKEEPER-784;0;9;9;[null]
BOOKKEEPER-783;0;9;9;[null]
BOOKKEEPER-780;0;9;9;[null]
BOOKKEEPER-779;0;9;9;[null]
BOOKKEEPER-778;0;9;9;[null]
BOOKKEEPER-777;0;9;9;[null]
BOOKKEEPER-774;0;9;9;[null]
BOOKKEEPER-769;0;8;11;[null]
BOOKKEEPER-768;6;8;9;[6]
BOOKKEEPER-767;0;8;8;[null]
BOOKKEEPER-766;0;8;8;[null]
BOOKKEEPER-765;0;8;8;[null]
BOOKKEEPER-763;0;8;8;[null]
BOOKKEEPER-755;0;8;8;[null]
BOOKKEEPER-752;6;8;8;[6]
BOOKKEEPER-751;0;8;8;[null]
BOOKKEEPER-750;0;8;8;[null]
BOOKKEEPER-746;0;8;8;[null]
BOOKKEEPER-745;0;8;8;[null]
BOOKKEEPER-744;0;8;8;[null]
BOOKKEEPER-743;0;8;8;[null]
BOOKKEEPER-742;0;8;8;[null]
BOOKKEEPER-740;0;8;8;[null]
BOOKKEEPER-739;0;8;9;[null]
BOOKKEEPER-731;0;8;8;[null]
BOOKKEEPER-730;0;8;8;[null]
BOOKKEEPER-729;0;8;8;[null]
BOOKKEEPER-728;0;8;8;[null]
BOOKKEEPER-727;0;8;8;[null]
BOOKKEEPER-726;0;8;8;[null]
BOOKKEEPER-725;0;8;8;[null]
BOOKKEEPER-724;0;8;8;[null]
BOOKKEEPER-720;0;7;7;[null]
BOOKKEEPER-719;0;7;7;[null]
BOOKKEEPER-714;0;7;8;[null]
BOOKKEEPER-712;5;7;7;[5]
BOOKKEEPER-711;6;7;7;[6]
BOOKKEEPER-710;0;7;8;[null]
BOOKKEEPER-709;0;7;7;[null]
BOOKKEEPER-708;0;7;8;[null]
BOOKKEEPER-700;0;7;7;[null]
BOOKKEEPER-698;0;7;7;[null]
BOOKKEEPER-695;7;7;9;[7]
BOOKKEEPER-688;4;6;8;[4]
BOOKKEEPER-686;4;6;6;[4]
BOOKKEEPER-685;0;6;6;[null]
BOOKKEEPER-684;0;6;6;[null]
BOOKKEEPER-683;0;6;6;[null]
BOOKKEEPER-679;0;6;6;[null]
BOOKKEEPER-678;0;6;7;[null]
BOOKKEEPER-676;0;6;7;[null]
BOOKKEEPER-673;0;6;8;[null]
BOOKKEEPER-669;0;6;6;[null]
BOOKKEEPER-668;5;6;6;[5, 7]
BOOKKEEPER-667;5;6;6;[5]
BOOKKEEPER-664;5;6;7;[5]
BOOKKEEPER-663;0;6;6;[null]
BOOKKEEPER-660;4;6;6;[4]
