RELEASE;FILENAME;LOC;NR;NAUTH;ChgSetSize;MAX_ChgSet;AVG_ChgSet;BUGGYNESS
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java;39;1;1;33;33;33,00;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java;40;1;1;33;33;33,00;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java;118;1;1;33;33;33,00;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java;235;1;1;33;33;33,00;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java;81;1;1;2;2;2,00;No
2;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java;121;0;0;0;0;0;No
2;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java;215;2;2;8;6;4,00;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;950;20;3;165;25;8,25;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java;78;2;2;43;25;21,50;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java;170;0;0;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;441;12;3;84;25;7,00;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java;185;4;1;23;11;5,75;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java;516;8;2;69;18;8,63;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java;132;5;1;39;11;7,80;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java;152;2;2;40;25;20,00;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java;124;0;0;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java;123;1;1;15;15;15,00;No
