Dataset;#TrainingRelease;%Training;%DefectiveTraining;%DefectiveTesting;Classifier;Balancing;FeatureSelection;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
bookkeeper;5;64.61;34.36;59.42;Random Forest;Under Sampling;Best First;263;50;131;2;0.84;0.99;0.88;0.75
bookkeeper;5;64.61;34.36;59.42;Random Forest;Over Sampling;Best First;233;37;144;32;0.86;0.88;0.88;0.68
bookkeeper;5;64.61;34.36;59.42;Random Forest;SMOTE;Best First;264;34;147;1;0.89;1;0.91;0.83
bookkeeper;5;64.61;34.36;59.42;Naive Bayes;No;No;4;6;175;261;0.4;0.02;0.73,-0.01
bookkeeper;5;64.61;34.36;59.42;Naive Bayes;Under Sampling;No;2;2;179;263;0.5;0.01;0.7,-0
bookkeeper;5;64.61;34.36;59.42;Naive Bayes;Over Sampling;No;95;37;144;170;0.72;0.36;0.7;0.14
bookkeeper;5;64.61;34.36;59.42;Naive Bayes;SMOTE;No;34;20;161;231;0.63;0.13;0.74;0.02
bookkeeper;5;64.61;34.36;59.42;Naive Bayes;No;Best First;265;69;112;0;0.79;1;0.77;0.66
bookkeeper;5;64.61;34.36;59.42;Naive Bayes;Under Sampling;Best First;265;173;8;0;0.61;1;0.74;0.05
bookkeeper;5;64.61;34.36;59.42;Naive Bayes;Over Sampling;Best First;243;103;78;22;0.7;0.92;0.72;0.37
bookkeeper;5;64.61;34.36;59.42;Naive Bayes;SMOTE;Best First;265;135;46;0;0.66;1;0.76;0.29
bookkeeper;5;64.61;34.36;59.42;IBk;No;No;234;24;157;31;0.91;0.88;0.88;0.75
bookkeeper;5;64.61;34.36;59.42;IBk;Under Sampling;No;250;37;144;15;0.87;0.94;0.87;0.75
bookkeeper;5;64.61;34.36;59.42;IBk;Over Sampling;No;219;27;154;46;0.89;0.83;0.81;0.67
bookkeeper;5;64.61;34.36;59.42;IBk;SMOTE;No;235;25;156;30;0.9;0.89;0.87;0.75
bookkeeper;5;64.61;34.36;59.42;IBk;No;Best First;263;32;149;2;0.89;0.99;0.91;0.84
bookkeeper;5;64.61;34.36;59.42;IBk;Under Sampling;Best First;265;47;134;0;0.85;1;0.89;0.77
bookkeeper;5;64.61;34.36;59.42;IBk;Over Sampling;Best First;236;32;149;29;0.88;0.89;0.86;0.72
bookkeeper;5;64.61;34.36;59.42;IBk;SMOTE;Best First;263;32;149;2;0.89;0.99;0.9;0.84
bookkeeper;6;78.96;38.92;68.04;Random Forest;No;No;410;23;186;35;0.95;0.92;0.94;0.8
bookkeeper;6;78.96;38.92;68.04;Random Forest;Under Sampling;No;417;63;146;28;0.87;0.94;0.93;0.67
bookkeeper;6;78.96;38.92;68.04;Random Forest;Over Sampling;No;407;52;157;38;0.89;0.91;0.92;0.68
bookkeeper;6;78.96;38.92;68.04;Random Forest;SMOTE;No;417;75;134;28;0.85;0.94;0.94;0.61
bookkeeper;6;78.96;38.92;68.04;Random Forest;No;Best First;413;13;196;32;0.97;0.93;0.95;0.85
bookkeeper;6;78.96;38.92;68.04;Random Forest;Under Sampling;Best First;422;79;130;23;0.84;0.95;0.93;0.61
bookkeeper;6;78.96;38.92;68.04;Random Forest;Over Sampling;Best First;412;75;134;33;0.85;0.93;0.92;0.6
bookkeeper;6;78.96;38.92;68.04;Random Forest;SMOTE;Best First;417;69;140;28;0.86;0.94;0.95;0.64
bookkeeper;6;78.96;38.92;68.04;Naive Bayes;No;No;16;11;198;429;0.59;0.04;0.74,-0.01
bookkeeper;6;78.96;38.92;68.04;Naive Bayes;Under Sampling;No;307;61;148;138;0.83;0.69;0.75;0.36
bookkeeper;6;78.96;38.92;68.04;Naive Bayes;Over Sampling;No;399;94;115;46;0.81;0.9;0.77;0.48
bookkeeper;6;78.96;38.92;68.04;Naive Bayes;SMOTE;No;298;53;156;147;0.85;0.67;0.78;0.37
bookkeeper;6;78.96;38.92;68.04;Naive Bayes;No;Best First;434;110;99;11;0.8;0.98;0.81;0.51
bookkeeper;6;78.96;38.92;68.04;Naive Bayes;Under Sampling;Best First;442;182;27;3;0.71;0.99;0.83;0.16
bookkeeper;6;78.96;38.92;68.04;Naive Bayes;Over Sampling;Best First;430;133;76;15;0.76;0.97;0.8;0.39
bookkeeper;6;78.96;38.92;68.04;Naive Bayes;SMOTE;Best First;436;116;93;9;0.79;0.98;0.79;0.49
bookkeeper;6;78.96;38.92;68.04;IBk;No;No;408;27;182;37;0.94;0.92;0.89;0.78
bookkeeper;6;78.96;38.92;68.04;IBk;Under Sampling;No;411;35;174;34;0.92;0.92;0.88;0.76
bookkeeper;6;78.96;38.92;68.04;IBk;Over Sampling;No;392;34;175;53;0.92;0.88;0.86;0.7
bookkeeper;6;78.96;38.92;68.04;IBk;SMOTE;No;408;27;182;37;0.94;0.92;0.9;0.78
bookkeeper;6;78.96;38.92;68.04;IBk;No;Best First;409;27;182;36;0.94;0.92;0.94;0.78
bookkeeper;6;78.96;38.92;68.04;IBk;Under Sampling;Best First;416;42;167;29;0.91;0.93;0.91;0.75
bookkeeper;6;78.96;38.92;68.04;IBk;Over Sampling;Best First;407;41;168;38;0.91;0.91;0.89;0.72
bookkeeper;6;78.96;38.92;68.04;IBk;SMOTE;Best First;410;30;179;35;0.93;0.92;0.93;0.77
