Dataset;#TrainingRelease;%training;%Defective in training;%Defective in testing;Classifier;Balancing;Feature Selection;Sensitivity;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;No;oversampling;Sensitive Learning;99;48;289;18;0.67;0.85;0.94;0.65
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;No;undersampling;No;117;51;286;0;0.7;1;0.99;0.74
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;No;undersampling;Sensitive Threshold;41;0;337;76;1;0.35;0.68;0.44
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;No;undersampling;Sensitive Learning;94;82;255;23;0.53;0.8;0.88;0.48
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;No;SMOTE;No;117;0;337;0;1;1;1;1
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;No;SMOTE;Sensitive Threshold;36;0;337;81;1;0.31;0.65;0.4
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;No;SMOTE;Sensitive Learning;73;3;334;44;0.96;0.62;0.99;0.69
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;Best first;No;No;117;0;337;0;1;1;1;1
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;Best first;No;Sensitive Threshold;51;0;337;66;1;0.44;0.72;0.53
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;Best first;No;Sensitive Learning;75;0;337;42;1;0.64;1;0.73
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;Best first;oversampling;No;111;71;266;6;0.61;0.95;0.95;0.62
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;Best first;oversampling;Sensitive Threshold;85;15;322;32;0.85;0.73;0.84;0.72
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;Best first;oversampling;Sensitive Learning;104;65;272;13;0.62;0.89;0.91;0.61
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;Best first;undersampling;No;117;65;272;0;0.64;1;0.98;0.68
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;Best first;undersampling;Sensitive Threshold;72;6;331;45;0.92;0.62;0.8;0.67
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;Best first;undersampling;Sensitive Learning;108;127;210;9;0.46;0.92;0.87;0.41
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;Best first;SMOTE;No;117;0;337;0;1;1;1;1
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;Best first;SMOTE;Sensitive Threshold;59;0;337;58;1;0.5;0.75;0.6
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;Best first;SMOTE;Sensitive Learning;78;3;334;39;0.96;0.67;0.97;0.73
BOOKKEEPER;3;30.09;36.44;25.77;IBk;No;No;No;117;0;337;0;1;1;1;1
